spot_name,region,richness,tags,summary,address,video_id,views,keywords
곽지브롱스,곽지,low,,,,cQ_N7hH_uyI,210,함덕 맛집|곽지 카페|조천 카페
런던베이글제주,곽지,low,베이커리,,,D_2ApQpe5Qc,1330,곽지 카페
레크레카페,곽지,low,,,,xQlfwDsrFUU,61,곽지 카페
별돈별,곽지,low,,,,D_2ApQpe5Qc,1330,곽지 카페
비에노즈카페,곽지,low,오션뷰,,,ODAjRm3MNc8,107,곽지 카페
빌레못 카페,곽지,low,애견동반|브런치|디저트,,,1Vj2W2QhhP0,945,곽지 카페
애월 곽지 오션뷰 브런치카페,곽지,low,오션뷰|브런치,,,mIja6kJkdRY,116,곽지 카페
애월빵공장,곽지,high,베이커리|대형|야외석|주차편함,곽지해변 바로 앞에 위치한 대형 베이커리 카페로 좌석이 널찍하고 아이들이 놀 수 있는 공간이 마련되어 있으며 바다 산책이 가능하다.,제주 제주시 애월읍 금성5길 42-15,cWn1goAdZp8,1787,곽지 카페
오아시스80,곽지,low,,,,D_2ApQpe5Qc,1330,곽지 카페
올댓커피,곽지,low,,,,eDdk_duJzjU,3547,곽지 카페
원앤온리,곽지,low,,,,j44Def5DJBU,231,곽지 카페
천백고지,곽지,low,,,,j44Def5DJBU,231,곽지 카페
카페 더 콘테나,곽지,low,,,,D_2ApQpe5Qc,1330,곽지 카페
카페 연,곽지,mid,오션뷰|감성|디저트,"곽지 해수욕장을 마주 보고 있는 제주 감성 카페로, 흐린 날 바다를 보며 초코 라떼를 즐길 수 있음.",,GxE1JEUVlhM,76,곽지 카페
카페봄날,곽지,low,,,,eDdk_duJzjU,3547,곽지 카페
카페인어,곽지,low,오션뷰,,,j44Def5DJBU,231,곽지 카페
카페팀블로우,곽지,low,오션뷰,,,Spx0JOUIBH0,882,곽지 카페
콩카페,곽지,high,브런치|주차편함,"뷰: 곽지해수욕장 근처에 위치해 해변 접근성이 좋으며, 영업시간이 명시되어 있음(09:30~19:00). 시그니처 메뉴: 코코넛스무디커피, 코코넛연유커피, 비나카노.",제주 제주시 애월읍 곽지3길 21,4PFVPLEMBm4,35874,곽지 카페
콩카페,곽지,high,오션뷰|브런치,"오션뷰, 영업시간 09:30~19:00이 본문에 표기되어 있음. 대표메뉴로 코코넛스무디커피·코코넛연유커피·비나카노가 소개됨.",제주 제주시 애월읍 곽지3길 21,a8pToLyvW2g,3081,곽지 카페
콩카페,곽지,low,,,,eDdk_duJzjU,3547,곽지 카페
콩카페,곽지,low,,,,7haQvd5FTyc,581,곽지 카페
콩카페,곽지,low,,,,WTkeodDiv4s,493,곽지 카페
콩카페,곽지,low,,,,5mWtMNodw60,351,곽지 카페
콩카페 곽지해변점,곽지,high,베이커리|키즈친화|애견동반,"영업시간 10:00-20:00(19:30 라스트오더), 코코넛연유커피 6,000원, 키즈존 및 반려동물 입장 가능.",제주시 애월읍 곽지3길 21 1층,_BW51ruyRUg,266,곽지 카페
콩카페 제주곽지해변점,곽지,low,감성|오션뷰,,,kOVD_0ti3dc,139,곽지 카페
콩카페 제주곽지해변점,곽지,high,디저트|브런치,"뷰 없음, 대표메뉴로 코코넛스무디커피·코코넛연유커피·비나카노가 있다. 영업시간 09:30~20:20.",제주 제주시 애월읍 곽지3길 21,NKL8TbCWP5o,1931,곽지 카페
콩카페 제주곽지해변점,곽지,low,,,,a6Y5KNdtAl0,271,곽지 카페
콩카페 제주곽지해변점,곽지,low,,,,3vvw4LjBpWA,1246,곽지 카페
타임 센트,곽지,low,베이커리,,,wvciHyLMPDU,57,곽지 카페
태희카페,곽지,low,,,,JlF0yMSuLH4,220,곽지 카페
푸파페,곽지,low,,,,xQlfwDsrFUU,61,곽지 카페
be around cafe,구좌,low,,,,YS2h_pI_Ub4,311,함덕 카페
가는곶 세화,구좌,low,,,,4cRqe0Iqmh0,44350,함덕 맛집|월정리 맛집|조천 카페
구좌상회,구좌,low,,,,cJ4mNonRQcg,26899,제주 오션뷰 카페
구좌상회,구좌,low,감성,,,oSwwq2sDSDs,1442,제주 감성 카페
구좌카페,구좌,low,,,,7x7iDazOkWY,2040,세화 카페
귤하르방,구좌,low,,,,4cRqe0Iqmh0,44350,함덕 맛집|월정리 맛집|조천 카페
달리센트,구좌,high,디저트,,제주시 구좌읍 종달리 1991 종달논길72-6(옆골목),3KTCpixEn7o,66496,함덕 카페
델문도 김녕,구좌,low,오션뷰|베이커리,,,98yJXHTBwOU,5101,제주 오션뷰 카페|제주 대형카페|제주 베이커리 카페|제주 노을 카페
델문도 김녕점,구좌,high,오션뷰|베이커리|루프탑|포토존,오션뷰와 루프탑이 강조된 베이커리 카페로 시그니처 음료와 베이커리 메뉴가 있음.,제주 제주시 구좌읍 해맞이해안로 140,7RKflbbIX_c,2621,제주시 포토존
라마네 의식주,구좌,high,,,제주 제주시 구좌읍 중산간동로 2117 1층,Sozt3btJBkQ,44214,제주 감성 카페
런던 베이글,구좌,low,베이커리,,,cJ4mNonRQcg,26899,제주 오션뷰 카페
런던 베이글,구좌,low,베이커리,,,98yJXHTBwOU,5101,제주 오션뷰 카페|제주 대형카페|제주 베이커리 카페|제주 노을 카페
런던베이글,구좌,low,베이커리,,,4cRqe0Iqmh0,44350,함덕 맛집|월정리 맛집|조천 카페
런던베이글,구좌,low,베이커리,,,nFvyhzVDCJo,72185,김녕 카페
런던베이글뮤지엄,구좌,high,베이커리,,제주 제주시 구좌읍 동복로 85 제2동 1층,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
런던베이글뮤지엄 제주점,구좌,low,베이커리|브런치,,,wRmpwgu1O3A,33626,세화 카페
마이피기팬트리,구좌,high,디저트,,제주시 구좌읍 하도13길 6,3KTCpixEn7o,66496,함덕 카페
모뉴에트,구좌,mid,베이커리,구좌 까눌레 맛집으로 소개된 베이커리 카페.,,GsapnYjjxLM,4995,성산 포토존
모뉴에트,구좌,low,감성,,,u9-dt7hUvyA,32511,제주 감성 카페
모알보알,구좌,low,,,,4cRqe0Iqmh0,44350,함덕 맛집|월정리 맛집|조천 카페
모알보알,구좌,low,,,,cJ4mNonRQcg,26899,제주 오션뷰 카페
무슈부부커피스탠드 오리진,구좌,high,필터커피,필터커피와 특별한 에스프레소 음료를 추천하는 커피 스탠드.,제주특별자치도 제주시 구좌읍 구좌로 53 1층,SplYGceGc-s,5663,세화 카페
미디어아트.핑크꽃.플라워 디저트카페,구좌,low,오션뷰|디저트,,,SReKCL_ps4Q,39,제주 디저트 카페
블루 엘리펀트,구좌,high,,,제주 제주시 구좌읍 동복로 83 1층,i2vz7cKmj-s,700213,제주 숨은 명소|제주 명소|애월 카페|한림 맛집|함덕 카페|월정리 맛집|서귀포 카페|제주 대형카페|제주 베이커리 카페|대정 카페
블루보틀,구좌,high,브런치,,제주 제주시 구좌읍 번영로 2133-30,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
비수기애호가,구좌,high,오션뷰,오션뷰 카페.,"제주특별자치도 제주시 구좌읍 해맞이해안로 997, 2층",SZ5Q6_6TVw8,2114,한림 카페|협재 카페|제주 오션뷰 카페
비수기애호가,구좌,mid,감성|오션뷰,구좌 지역에서 에메랄드빛 바다와 함께 여유로운 시간을 보낼 수 있었던 카페로 소개됨.,,FYmoVEKFbzk,94,세화 카페
산토,구좌,high,베이커리,,제주 제주시 구좌읍 중산간동로 2266,3KTCpixEn7o,66496,함덕 카페
수퍼플라워,구좌,high,오션뷰|디저트|애견동반|주차편함,"오션뷰 감성 인테리어의 플라워 컨셉 전시형 카페로 시그니처 꽃 디저트(아이스크림·에이드·차)와 전시 관람을 함께 즐길 수 있으며 음료 평균 7천원대, 반려견은 케이지 동반 시 입장 가능, 주차는 근처 무료 공영주차장 권장.",제주 제주시 구좌읍 동복로 85 B1,fvWExmEz-Wk,5491,제주 신상 카페
수퍼플라워,구좌,mid,오션뷰|신상,바다뷰와 꽃구경을 즐길 수 있는 신상 카페임이 언급됨.,,3nG1b8rhm6E,1369,제주 신상 카페
스타벅스 더제주송당파크R점,구좌,high,,,제주 제주시 구좌읍 송당리 2860,g_LgFH7sd-c,2010,제주 카페|함덕 카페|제주시 카페|제주 브런치 카페
스타벅스 더제주송당파크R점,구좌,high,,,제주 제주시 구좌읍 비자림로 1189,3KTCpixEn7o,66496,함덕 카페
스타벅스 더제주송당파크R점 (Starbucks The Jeju Songdang Park),구좌,high,주차편함,"주차 가능, 반려동물 동반 불가.",제주 제주시 구좌읍 비자림로 1189,Rn7q2JLUqb4,79313,제주 카페
스타벅스 송당파크R점,구좌,low,통창,,,4cRqe0Iqmh0,44350,함덕 맛집|월정리 맛집|조천 카페
슬슬슬로우,구좌,high,,,제주 제주시 구좌읍 덕행로 207 1층,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
아녜스의앞치마,구좌,high,,,제주 제주시 구좌읍 행원로5길 25 1동1층,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
아베베 베이커리,구좌,high,베이커리,,제주 제주시 구좌읍 해맞이해안로 617-4 B동,i2vz7cKmj-s,700213,제주 숨은 명소|제주 명소|애월 카페|한림 맛집|함덕 카페|월정리 맛집|서귀포 카페|제주 대형카페|제주 베이커리 카페|대정 카페
아베베비킬라 베이커리 제주,구좌,high,오션뷰|베이커리|신상,"오션뷰 베이커리 카페로 뺑오, 페이스트리, 도넛, 크루아상 등 다양한 빵을 제공하며 제주의 특산물을 사용한다. 운영시간 10:00-18:00, 추천메뉴로 말차오름 녹차르뱅쿠키 뺑스(5.2) 등이 있다.",,xA_52hp18OU,7483,제주 오션뷰 카페|제주 베이커리 카페|제주 신상 카페
아베베비킬라베이커리,구좌,high,베이커리|디저트,뷰: 코난비치 근처에 있는 베이커리카페이며 시그니처 메뉴로 바스크치즈크와(5.5)와 히비스커스망고에이드(5.8)가 소개되어 있음. 영업시간은 10:00-18:00.,,6cr63ay21Cs,24131,한림 카페|협재 카페|제주 베이커리 카페
안도르,구좌,high,디저트|베이커리,"뷰: """"; 분위기: 공간이 건축문화대상 수상. 시그니처 메뉴와 가격대: 안돌오름, 생식빵, 흑돼지무스케이크, 블루베리케이크(가격 언급 없음). 웨이팅/혼잡도: """"; 주차: 입구에 넓은 전용 주차장 있음; 좌석 특성: """"; 영업 특이사항: 매일 10:00-20:00(19:30 라스트오더).",제주 제주시 구좌읍 비자림로 1647 1층,zRbLtxE7spw,30834,제주 디저트 카페|김녕 카페
어반정글,구좌,low,,,,cJ4mNonRQcg,26899,제주 오션뷰 카페
오늘도화창,구좌,high,,,제주 제주시 구좌읍 월정5길 56 초록지붕 하얀집.,VMBHxp4Pfk4,37677,월정리 카페|월정리 맛집
오드랑 베이커리,구좌,low,베이커리,,,cJ4mNonRQcg,26899,제주 오션뷰 카페
오브젝트 제주점,구좌,low,감성,,,wRmpwgu1O3A,33626,세화 카페
진숫내,구좌,high,,,제주특별자치도 제주시 구좌읍 송당리 2808,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
차한모금,구좌,low,디저트,,,u9-dt7hUvyA,32511,제주 감성 카페
치저스,구좌,high,,,제주 제주시 구좌읍 비자림로 1785,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
카멜 커피,구좌,high,오션뷰|베이커리,,제주 제주시 구좌읍 해맞이해안로 617-3 C동,i2vz7cKmj-s,700213,제주 숨은 명소|제주 명소|애월 카페|한림 맛집|함덕 카페|월정리 맛집|서귀포 카페|제주 대형카페|제주 베이커리 카페|대정 카페
카페 글렌코,구좌,high,주차편함|애견동반,"카페에서 음료 주문 시 동백꽃 정원을 무료로 관람할 수 있고, 정원 관람은 입장권 구매만으로도 가능. 카페 내부에서 음료 이용 가능.",제주시 구좌읍 비자림로 1202,0-DljXiaSkI,7214,위미 카페
카페 모알보알 제주점,구좌,high,포토존,카페 곳곳 다양한 포토존이 가득한 카페.,제주 제주시 구좌읍 구좌해안로 141 카페 모알보알,Wk45aSDW-9Q,26116,제주 애견동반 카페
카페 한라산,구좌,low,,,,4cRqe0Iqmh0,44350,함덕 맛집|월정리 맛집|조천 카페
카페레이어드 제주점,구좌,high,디저트,귀여운 디저트가 한가득.,제주 제주시 구좌읍 동복리 719-1,g_LgFH7sd-c,2010,제주 카페|함덕 카페|제주시 카페|제주 브런치 카페
카페모알보알,구좌,high,,,제주 제주시 구좌읍 구좌해안로 141,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
카페안도르,구좌,low,,,,ijplunRVPg4,51,함덕 포토존
카페치즈태비,구좌,low,애견동반,,,kKOHCANnWo4,11972,제주 애견동반 카페
카페치즈태비,구좌,low,,,,Tzr22M2bep8,168,김녕 카페
카페한라산,구좌,high,감성,,제주 제주시 구좌읍 면수1길 48,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
코난비치,구좌,low,,,제주 제주시 구좌읍 행원리 575-6,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
코리코카페 (Koriko Cafe Jeju),구좌,high,주차편함,"주차 가능, 반려동물 동반 불가.",제주 제주시 구좌읍 비자림로 1199,Rn7q2JLUqb4,79313,제주 카페
파리바게트 ( 동화마을 ),구좌,high,베이커리,,제주 제주시 구좌읍 비자림로 1193 1층,3KTCpixEn7o,66496,함덕 카페
파앤이스트,구좌,high,베이커리,,제주 제주시 구좌읍 중산간동로 2269,3KTCpixEn7o,66496,함덕 카페
포레스텔라 인 제주,구좌,mid,야외석|브런치|오션뷰,넓은 정원과 억새뷰가 있는 브런치 맛집.,,XZ7ZBroJZaM,47516,제주 카페|함덕 카페|중문 카페|제주 조용한 카페|제주 신상 카페|제주 노을 카페|남원 카페
포레스텔라 인 제주,구좌,high,브런치,본문에 주소(제주 제주시 구좌읍 번영로 2132-6)가 명시된 카페로 소개됨.,제주 제주시 구좌읍 번영로 2132-6,JPVexkWBTwM,8776,제주 브런치 카페
포레스텔라 인 제주,구좌,high,브런치|주차편함,"1000평 규모의 브런치 카페로 가족·유아 동반에 적합하며, 메뉴 가격대는 만원대 이하로 안내되어 있다. 영업시간은 목~화 10:00–18:00(17:00 라스트오더), 매주 수요일 정기휴무이다. 주차는 매장 앞 주차장 이용 가능.",제주 제주시 구좌읍 번영로 2132-6 1층~2층,Xw6PMjfFIyA,40731,제주 브런치 카페
풍림다방클래식,구좌,high,전통찻집,,제주 제주시 구좌읍 중산간동로 2254 1층,qVMYzH7Sy9s,105802,월정리 맛집|김녕 카페
하토우 커피 로스터스,구좌,high,스페셜티,스페셜티 커피를 제공하는 로스터리 카페.,제주 제주시 구좌읍 구좌로 188-1 1층,SplYGceGc-s,5663,세화 카페
하토우커피로스터스,구좌,low,로컬|브런치,,,u9-dt7hUvyA,32511,제주 감성 카페
해난디아장,구좌,low,,,,ir1Xb6QCM4M,96,월정리 카페
꼬스뗀뇨카페,기타,low,대형,,,Yf4XNOaXEew,13,제주 대형카페
난산리다방,기타,mid,브런치|감성,"작고 예쁜 마을 난산리에 자리한 브런치 카페로, 사장님과 직원이 친절하고 분위기와 맛이 좋다는 내용이 본문에 있음.",,UY3XmVM1MHM,373,제주 감성 카페
네이키드,기타,low,,,,ytEZjynbWsc,44,조천 카페
노고롯1985,기타,high,브런치,본문에 주소(제주 제주시 한경면 한원복길 32 두모리574-3)가 명시된 브런치 카페.,제주 제주시 한경면 한원복길 32 두모리574-3,JPVexkWBTwM,8776,제주 브런치 카페
노을리,기타,low,브런치|노을,,,clwHdhMPgJ8,343,제주 브런치 카페|제주 노을 카페
노을리,기타,low,오션뷰|노을,,,OSnAzomvDsk,26,제주 노을 카페
노을리카페,기타,low,노을,,,Pu6RP_t8wFk,215,제주 노을 카페
노을리카페 노을,기타,low,노을,,,mPKgou7UyEI,249,제주 노을 카페
담소요카페,기타,low,노키즈존|뷰,,,LyA3iffbar4,3831,제주 조용한 카페
런던베이글뮤지엄,기타,low,베이커리|디저트,,,DyBjCA8l3oo,47864,제주 베이커리 카페|제주 디저트 카페
레미콘 카페,기타,mid,대형|베이커리|감성,넓은 공간에 파란 감성 인테리어와 빵 종류가 다양해 아이와 함께 여유롭게 시간 보내기 좋은 대형 카페.,,-vosfDEVOdU,1956,제주 대형카페
루브린라운지카페,기타,low,대형,,,Yf4XNOaXEew,13,제주 대형카페
마드레한동,기타,low,베이커리,,,-yK9CIDU3pU,235,제주시 포토존
마마롱,기타,low,감성,,,_DsuWOBcJHY,97460,제주 감성 카페
메종메르미누,기타,low,디저트|베이커리,,,hHEsSucTX0c,51,제주 디저트 카페
몽그레,기타,low,디저트,,,Oi3xa7skqN4,5170,제주 디저트 카페
무릉리 패스츄리도넛 크로와상,기타,low,디저트|베이커리,,,hHEsSucTX0c,51,제주 디저트 카페
베이커블,기타,low,베이커리,,,7Ww_ed2lUws,56780,제주 베이커리 카페
베이컨시,기타,low,,,,ytEZjynbWsc,44,조천 카페
보롬왓,기타,low,대형,,,NrGkZx1eSek,27,제주 대형카페
빈타이 카페,기타,high,오션뷰|감성,"광한루원을 내려다볼 수 있는 뷰와 현대적인 인테리어를 갖춘 카페로, 테라스에서 광한루원을 감상할 수 있다.",전북 남원시 광한서로 39,Araz9w3Jg-I,3435,남원 카페
빵귿,기타,low,베이커리,,,7Ww_ed2lUws,56780,제주 베이커리 카페
사오월 티클래스,기타,low,,,,MO8YaAyGxVY,56750,중문 카페|중문 맛집
사우스본,기타,low,,,,ytEZjynbWsc,44,조천 카페
산방산 카페,기타,low,,,,TRFkcEL4L9w,1973,표선 카페|표선 맛집
새별오름카페,기타,low,,,,7i4AUeXZ0v8,6448,제주 신상 카페
새빌,기타,low,대형,,,OzwBelKhNDs,56,제주 대형카페
성창힐,기타,low,,,,zqVy29Ca5d8,224884,제주 카페
수리코,기타,high,브런치,본문에 주소(제주 제주시 한경면 조수설목1길 8)가 명시된 브런치 카페.,제주 제주시 한경면 조수설목1길 8,JPVexkWBTwM,8776,제주 브런치 카페
수망다원,기타,low,오션뷰|감성|가족여행,오션뷰와 감성적인 분위기를 강조한 가족 방문용 제주 카페.,,byXxDGNMyFo,450,제주 감성 카페
아베베 베이커리,기타,low,베이커리,,,_DsuWOBcJHY,97460,제주 감성 카페
아베베베이커리,기타,low,베이커리|디저트,,,VTJV570jPko,244004,제주 베이커리 카페|제주 디저트 카페
아베베베이커리,기타,low,베이커리|디저트,,,ug24N82mOTk,581416,제주 디저트 카페
아베베비킬라&카멜커피,기타,low,베이커리|브런치,,,7Ww_ed2lUws,56780,제주 베이커리 카페
어드브레드,기타,low,베이커리,,,7Ww_ed2lUws,56780,제주 베이커리 카페
오드랑베이커리,기타,low,베이커리,,,7Ww_ed2lUws,56780,제주 베이커리 카페
우유부단,기타,low,,,,MO8YaAyGxVY,56750,중문 카페|중문 맛집
우정원베이커리,기타,low,베이커리,,,-yK9CIDU3pU,235,제주시 포토존
우정원베이커리카페,기타,low,대형|베이커리,,,jzXGpKNRkLA,419,제주 베이커리 카페
울트라마린,기타,low,오션뷰,,,98yJXHTBwOU,5101,제주 오션뷰 카페|제주 대형카페|제주 베이커리 카페|제주 노을 카페
위이,기타,low,감성,,,_DsuWOBcJHY,97460,제주 감성 카페
유지커피웍스,기타,low,,,,c6ehxdTNyfU,2993,제주 카페|제주 신상 카페
잔물결,기타,low,오션뷰,,,_DsuWOBcJHY,97460,제주 감성 카페
제주다원 쉼한모금,기타,low,,,,WG_EqUUwJyY,1768,제주 감성 카페
제주당,기타,low,대형|베이커리|디저트|신상,,,sigmcMVgDJ0,14337,애월 포토존|제주 대형카페|제주 베이커리 카페|제주 조용한 카페|제주 신상 카페
제주당,기타,low,대형,,,raYCaK48yYo,908,제주 대형카페
제주당,기타,low,대형,,,bzkTyrsJmWk,240,제주 대형카페
제주당,기타,low,,,,7i4AUeXZ0v8,6448,제주 신상 카페
진진제과,기타,low,베이커리,,,7Ww_ed2lUws,56780,제주 베이커리 카페
집의기록상점,기타,low,감성,,,_DsuWOBcJHY,97460,제주 감성 카페
추천빵집 5곳 (상세 미기재),기타,low,베이커리,,,olipW4EenoM,239772,제주 베이커리 카페|제주 디저트 카페
카페노리브이로그,기타,low,,,,zOeRsIGlYLw,316,위미 카페
커피템플,기타,high,,,제주 제주시 영평길 269 중선농원 커피템플,VMBHxp4Pfk4,37677,월정리 카페|월정리 맛집
코모커피,기타,low,베이커리|디저트,,,ytEZjynbWsc,44,조천 카페
키에키 커피 스탠드,기타,low,브런치,,,ytEZjynbWsc,44,조천 카페
포부,기타,low,,,,ytEZjynbWsc,44,조천 카페
풀잎들커피아카이브,기타,low,커피|디저트,,,ytEZjynbWsc,44,조천 카페
피커스 제주,기타,low,대형|키즈친화,,,4OLaFuHC7a0,149,제주 대형카페
